City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
149,Xinzhou,CN,72.27,overcast clouds,38.4092,112.7333,Shell Hotel - Xinzhou
150,Nanma,CN,73.62,light rain,36.1817,118.1583,GreenTree Inn Zibo Wuyuan County Lushan Road Express Hotel
151,Shelburne,CA,86.27,overcast clouds,44.0787,-80.2041,The Retreat at the Farm
152,Bahir Dar,ET,76.59,scattered clouds,11.5936,37.3908,"Delano Hotel, Bahir Dar"
154,Yining,CN,69.94,light rain,29.0361,114.5636,Xiushui Hotel
155,Alofi,NU,75.56,overcast clouds,-19.0595,-169.9187,Taloa Heights
156,Nouadhibou,MR,69.53,scattered clouds,20.931,-17.0347,El Medina
157,Victoria,HK,82.45,few clouds,22.2855,114.1577,Mini Hotel Central
158,Kahului,US,74.84,few clouds,20.8947,-156.47,Maui Seaside Hotel
159,Hurghada,EG,86.74,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
160,Tongren,CN,74.35,light rain,27.7172,109.1853,Fanjing Mountain International Conference Center
161,Fairlie,GB,67.12,clear sky,55.756,-4.8556,Brisbane House Hotel
162,Port Alfred,ZA,65.7,clear sky,-33.5906,26.891,The Halyards Hotel
163,Saurimo,AO,74.25,overcast clouds,-9.6608,20.3916,Hotel Kawissa Saurimo
165,Santa Cruz Cabralia,BR,80.83,scattered clouds,-16.2781,-39.0247,Portobali Hotel
167,Kruisfontein,ZA,66.88,clear sky,-34.0033,24.7314,Oyster Bay House Rental
169,Lorengau,PG,79.41,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
170,Boyolangu,ID,75.7,broken clouds,-8.1181,111.8935,Yos ega cv
174,Hasaki,JP,66.6,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
178,Puerto Madero,MX,88.0,scattered clouds,14.7208,-92.4215,Hotel La Central
179,Celestun,MX,88.11,broken clouds,20.8667,-90.4,Posada Lilia
181,Bentiu,SS,88.02,light rain,9.2333,29.8333,Mandela hôtel
182,Suna,RU,66.7,clear sky,57.8338,50.0588,Rdk
183,Clarksdale,US,75.18,overcast clouds,34.2001,-90.5709,Americas Best Value Inn & Suites
185,Kajaani,FI,68.05,few clouds,64.2273,27.7285,Original Sokos Hotel Valjus
187,Caravelas,BR,80.67,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
190,Itarema,BR,87.48,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
194,Butaritari,KI,81.63,light rain,3.0707,172.7902,Isles Sunset Lodge
196,Guerrero Negro,MX,66.78,broken clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
198,Puerto Maldonado,PE,81.0,broken clouds,-12.6,-69.1833,Wasai Hotel
199,Makat,KZ,79.54,overcast clouds,47.6469,53.3463,Umit
202,Menongue,AO,69.1,overcast clouds,-14.6585,17.691,Ritz Lauca
203,Cao Bang,VN,76.51,overcast clouds,22.6667,106.25,khách sạn 88
207,Namibe,AO,78.22,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
209,Chatrapur,IN,86.5,overcast clouds,19.35,84.9833,Circuit House
210,Saldanha,ZA,66.72,scattered clouds,-33.0117,17.9442,Blue Bay Lodge
211,Waingapu,ID,77.32,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
212,Ponta Do Sol,PT,73.71,clear sky,32.6667,-17.1,Hotel do Campo
214,Myskhako,RU,65.82,broken clouds,44.6714,37.7433,Myskhako Hotel
217,Tambun,ID,82.11,scattered clouds,-6.2641,107.0712,@HOM Premiere Tambun
218,Ahuimanu,US,74.91,few clouds,21.4447,-157.8378,Paradise Bay Resort
219,Taylorville,US,82.27,broken clouds,39.5489,-89.2945,Economy Inn
222,Jinxiang,CN,67.8,clear sky,27.4327,120.6062,Wolong Village
223,Atambua,ID,70.07,broken clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
227,San Quintin,MX,74.44,overcast clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
228,Omboue,GA,80.01,overcast clouds,-1.5746,9.2618,Hotel Olako
229,Nanakuli,US,75.15,clear sky,21.3906,-158.1547,Camp Pālehua
231,Pangkalanbuun,ID,75.0,broken clouds,-2.6833,111.6167,Grand Kecubung Hotel
233,Rincon,US,87.71,broken clouds,32.296,-81.2354,Days Inn Rincon
235,Zacatepec,MX,74.17,scattered clouds,18.65,-99.2,Villas El Paraíso
236,Vila Velha,BR,81.97,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
237,Sao Filipe,CV,76.87,broken clouds,14.8961,-24.4956,Hotel Xaguate
239,Stade,DE,68.49,overcast clouds,53.6,9.4833,H+ Hotel Stade
240,Dhidhdhoo,MV,82.78,overcast clouds,6.8833,73.1,Dhidhoo beach
241,Cururupu,BR,89.01,few clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
243,Bafia,CM,77.88,moderate rain,4.75,11.2333,Ets MAISON BLANCHE
248,Boa Vista,BR,87.78,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
249,La Rioja,ES,71.04,clear sky,42.25,-2.5,Casa Concejos
251,Ramsar,IR,72.84,broken clouds,36.9226,50.6426,Rasa Residential Hotel
252,Ende,ID,76.41,broken clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
255,Nikolskoye,RU,76.39,few clouds,59.7035,30.7861,Tourist House - Sablino
256,Nieuw Amsterdam,SR,88.14,scattered clouds,5.8833,-55.0833,Globe Hotel
257,La Asuncion,VE,85.73,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
259,Pedernales,DO,87.87,clear sky,18.0384,-71.744,Hotel Costa Marina
260,Balikpapan,ID,77.95,overcast clouds,-1.2675,116.8289,ibis Balikpapan
261,Kavieng,PG,81.99,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
263,Canterbury,GB,73.29,overcast clouds,51.279,1.0799,ABode Canterbury
264,Paita,PE,75.76,overcast clouds,-5.0892,-81.1144,Hotel Náutico de Paita
266,Huarmey,PE,68.95,broken clouds,-10.0681,-78.1522,Hotel Miramar
268,Buin,CL,66.06,overcast clouds,-33.7333,-70.75,Paihuen
271,Alta Floresta,BR,88.9,scattered clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
275,Wau,SS,84.61,broken clouds,7.7029,27.9953,Universal Gab Hotel
276,Linhares,BR,81.48,scattered clouds,-19.3911,-40.0722,Hotel Conceição
277,Tiarei,PF,75.22,clear sky,-17.5333,-149.3333,Le Rocher de Tahiti
279,Kailua,US,75.18,few clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
280,Vila,PT,74.75,broken clouds,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
282,Tocopilla,CL,68.2,clear sky,-22.092,-70.1979,Hotel Galvarino
284,Kozan,TR,83.3,clear sky,37.4552,35.8157,Ortaklar Kiz Ogrenci Yurdu
286,Porto Novo,BJ,84.81,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
287,Domoni,KM,77.61,overcast clouds,-12.2569,44.5319,Al Djadid
295,Faanui,PF,80.56,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
304,Hillsborough,US,67.51,haze,37.5741,-122.3794,Hyatt Regency San Francisco Airport
305,Inongo,CD,71.19,light rain,-1.95,18.2667,Hotel Du Lac
306,Jalu,LY,89.8,clear sky,29.0331,21.5482,صاحبة الفخامة
307,Funadhoo,MV,82.67,overcast clouds,6.15,73.2667,Dhaffalhu Tourist Lodge
308,Sola,VU,79.41,scattered clouds,-13.8833,167.55,Leumerus Bungalows
309,Adamas,GR,78.22,clear sky,36.7333,24.4333,Aphrodite of Milos
310,Maisach,DE,67.68,overcast clouds,48.2167,11.2667,Romantik Hotel zur Post
311,Salalah,OM,83.55,scattered clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
314,Sibolga,ID,76.46,clear sky,1.7427,98.7792,Hotel Syariah CN Darussalam
316,Kushima,JP,66.31,overcast clouds,31.4583,131.2333,Hanaoka
322,Mujiayingzi,CN,65.82,overcast clouds,42.1167,118.7833,Jinjiang Hotel
323,Northam,GB,69.35,broken clouds,51.0333,-4.2167,Durrant House Hotel
324,Cozumel,MX,87.87,scattered clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
325,Sabang,ID,83.43,overcast clouds,5.8933,95.3214,Hotel Citra
326,Gasa,PS,79.92,clear sky,31.5,34.4667,رابطة الفنانين الفلسطينيين
330,Epe,NG,83.03,light rain,6.5841,3.9834,MAGVILLE HOTEL
332,Cockburn Town,TC,80.11,clear sky,21.4612,-71.1419,Osprey Beach Hotel
333,Conde,BR,80.06,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
334,Kitgum,UG,75.87,overcast clouds,3.2783,32.8867,Jaflo Gardens Hotel
336,Bambous Virieux,MU,73.22,few clouds,-20.3428,57.7575,Casa Tia Villa
337,Naze,JP,68.52,moderate rain,28.3667,129.4833,奄美ポートタワーホテル
339,Fukue,JP,68.97,overcast clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
342,Saint Anthony,US,86.02,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
343,Pasighat,IN,74.48,overcast clouds,28.0667,95.3333,Siang Guest House
345,Poniatowa,PL,76.91,broken clouds,51.1798,22.1309,Hotel Słowik
347,Williston,US,68.04,overcast clouds,48.147,-103.618,Hampton Inn & Suites Williston
349,Kalemie,CD,73.56,few clouds,-5.9475,29.1947,Mahobilali
350,Luganville,VU,75.63,broken clouds,-15.5333,167.1667,The Espiritu Hotel
351,Caramay,PH,79.75,overcast clouds,10.1815,119.236,Peace and Love Beach Club
352,Batticaloa,LK,84.06,overcast clouds,7.7102,81.6924,Grand Star Guest House
353,El Castillo,MX,78.76,broken clouds,19.5333,-96.85,City Express Xalapa
355,Barra Do Garcas,BR,87.21,overcast clouds,-15.89,-52.2567,Hotel Pousada Tropical
356,Quelimane,MZ,67.39,broken clouds,-17.8786,36.8883,Hotel Flamingo
359,San Cristobal,VE,71.78,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
360,Bubaque,GW,80.1,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
363,Trincomalee,LK,82.65,broken clouds,8.5711,81.2335,Welcombe Hotel
366,Laguna,US,81.25,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
367,Beira,MZ,73.49,light rain,-19.8436,34.8389,Beira Terrace Hotel
368,Moyale,KE,75.04,broken clouds,3.5167,39.0584,La Tahzan Guest House
370,Karaton,ID,79.95,moderate rain,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
371,Creston,US,79.54,broken clouds,41.0586,-94.3614,Supertel Inn & Conference Center
374,Ceratu,RO,77.58,broken clouds,44.0667,23.6667,Cabana Diana
379,Sumenep,ID,80.01,few clouds,-7.0167,113.8667,OYO 3271 Homestay Pandian
380,Mareeba,AU,65.12,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
381,Boone,US,79.83,overcast clouds,39.0334,-92.3335,Cottonwoods RV Park
382,Ylivieska,FI,68.27,broken clouds,64.0833,24.55,hotel Käenpesä
383,Mao,ES,75.76,clear sky,39.8885,4.2658,ARTIEM Capri
385,Nhulunbuy,AU,77.61,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
386,Wageningen,NL,72.05,scattered clouds,51.9667,5.6667,Fletcher Hotel-Restaurant De Wageningsche Berg
390,Panacan,PH,81.41,overcast clouds,9.2463,118.4082,Mom's Place Resort
391,Marsabit,KE,73.15,broken clouds,2.3284,37.9899,Chicho Hotel
392,Luocheng,CN,73.83,overcast clouds,29.3848,104.0286,Luocheng Hotel
395,Pemangkat,ID,78.51,overcast clouds,1.1667,108.9667,Ramah Kost KITA
396,Banswada,IN,83.3,overcast clouds,18.3833,77.8833,Bc Boys Hostel
397,Karwar,IN,80.64,broken clouds,14.8,74.1333,Netalco Connects
398,Niagara Falls,CA,85.08,clear sky,43.1001,-79.0663,Sheraton Fallsview Hotel
400,Paraiso,CR,77.86,scattered clouds,9.8383,-83.8656,Rinconcito Verde
402,Kirakira,SB,79.36,scattered clouds,-10.4544,161.9205,SanBiz Lodge
403,Krasnogorsk,RU,66.45,clear sky,55.8225,37.3181,"Hotel ""Academy"""
404,Hirara,JP,78.1,moderate rain,24.8,125.2833,Hotel Atoll Emerald Miyakojima
405,Meulaboh,ID,77.31,light rain,4.1363,96.1285,Kost Pria
406,Lampang,TH,78.33,overcast clouds,18.3333,99.5,Mrs Luis Guest House
407,Yingkou,CN,66.7,scattered clouds,40.6648,122.2283,Yingkou Juyin Junyue Hotel
409,Fort Morgan,US,83.8,clear sky,40.2503,-103.8,Hampton Inn Fort Morgan
413,Miranda De Ebro,ES,76.53,clear sky,42.6865,-2.947,Hospedería El Convento
415,Panalingaan,PH,82.0,overcast clouds,8.7842,117.4231,I Love Panalingaan View Deck
417,Puerto Del Rosario,ES,74.88,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
418,Nkhata Bay,MW,67.96,scattered clouds,-11.6066,34.2907,Mayoka Village
419,Sao Joao Da Barra,BR,76.91,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
424,Antofagasta,CL,70.21,clear sky,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
428,Puerto Escondido,MX,88.63,few clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
429,Ambulu,ID,76.33,broken clouds,-8.345,113.6058,Hotel Ambulu Jember
431,Olonets,RU,72.12,overcast clouds,60.9847,32.9698,Country House on Savodaya 9
432,Nchelenge,ZM,71.73,overcast clouds,-9.3451,28.734,KD Travellers Home
434,Banda Aceh,ID,80.42,overcast clouds,5.5577,95.3222,Sulthan Hotel International
435,Dicabisagan,PH,80.53,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
437,Kpandu,GH,84.09,light rain,6.9954,0.2931,Emo House
440,Auki,SB,77.05,clear sky,-8.7676,160.7034,Auki Motel
443,Bad Wildungen,DE,65.52,broken clouds,51.1196,9.1248,Göbel's Hotel Quellenhof
444,Tulsipur,NP,83.07,few clouds,28.131,82.2973,Ekanta Hotel Pvt. Ltd
446,Prainha,BR,88.2,scattered clouds,-1.8,-53.48,Casa Rocha
447,Opatija,HR,76.69,broken clouds,45.3392,14.3083,Hotel Opatija
449,Luanda,AO,80.6,few clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
450,Tarakan,ID,81.48,overcast clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
451,Korla,CN,78.3,broken clouds,41.7597,86.1469,Gulisitan Hotel
453,Kupang,ID,77.0,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
454,Tigzirt,DZ,70.86,scattered clouds,36.8886,4.1198,Bloc D tazoumbirt (amar)
455,Monrovia,LR,80.37,moderate rain,6.3005,-10.7969,Sunset Inn
456,Tuchkovo,RU,65.71,overcast clouds,55.6011,36.4681,Na Tekhnologicheskom
459,Rivers,CA,65.35,overcast clouds,50.0308,-100.2403,Blue Crescent Hotels
461,Mae Hong Son,TH,74.86,broken clouds,19.3003,97.9685,Baiyoke Chalet Hotel
462,Shu,KZ,74.88,broken clouds,43.5983,73.7614,Shyngyzkhan
465,Pozo Colorado,PY,80.51,broken clouds,-23.4923,-58.7972,Hospedaje la Amistad
467,Half Moon Bay,US,68.11,haze,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
469,Roshchino,RU,75.74,overcast clouds,60.2519,29.6085,Hotel Galliard
472,Lahaina,US,74.95,clear sky,20.8783,-156.6825,Lahaina Shores Beach Resort
473,Marsa Matruh,EG,73.71,clear sky,31.3525,27.2453,Beau Site
475,Denpasar,ID,80.26,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
476,Male,MV,83.3,broken clouds,4.1748,73.5089,Hotel Octave Maldives
478,Tazmalt,DZ,77.09,scattered clouds,36.3868,4.3989,Hôtel Numédia
480,Chicama,PE,66.74,broken clouds,-7.8447,-79.1469,Balihai Bungalows
