City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Ustye,RU,59.6304,39.736,72.59,56,16,4.41,few clouds
80,Tiksi,RU,71.6872,128.8694,42.12,69,85,8.25,overcast clouds
81,Castro,BR,-24.7911,-50.0119,74.88,43,95,6.87,overcast clouds
82,Maldonado,UY,-34.6667,-54.9167,56.59,64,4,7.49,clear sky
83,Havre,FR,49.5833,0.3333,69.44,82,40,6.46,scattered clouds
84,Peterhead,GB,57.5058,-1.7981,56.44,82,88,9.33,overcast clouds
85,Tuktoyaktuk,CA,69.4541,-133.0374,34.27,77,12,6.62,few clouds
86,Thompson,CA,55.7435,-97.8558,68.58,54,100,3.4,overcast clouds
87,Vanavara,RU,60.34,102.2797,36.75,66,1,5.7,clear sky
88,Makakilo City,US,21.3469,-158.0858,73.72,68,20,14.09,few clouds
89,Lompoc,US,34.6391,-120.4579,60.48,83,90,1.99,mist
90,Manuk Mangkaw,PH,4.8,119.85,83.97,71,50,4.9,scattered clouds
91,Bandarbeyla,SO,9.4942,50.8122,80.82,80,4,29.68,clear sky
92,Sinnamary,GF,5.3833,-52.95,77.0,89,82,11.07,broken clouds
93,Vardo,NO,70.3705,31.1107,46.6,61,40,13.8,scattered clouds
94,Russell,US,32.3502,-85.1999,83.91,65,75,1.9,broken clouds
95,Belmonte,BR,-15.8631,-38.8828,81.1,65,36,8.72,scattered clouds
96,Erdenet,MN,49.0333,104.0833,36.63,97,100,7.27,overcast clouds
97,Cherskiy,RU,68.75,161.3,59.2,52,38,12.35,scattered clouds
98,Yellowknife,CA,62.456,-114.3525,45.32,70,100,5.99,overcast clouds
99,Luderitz,NA,-26.6481,15.1594,66.74,42,0,2.04,clear sky
100,Jamestown,US,42.097,-79.2353,83.3,49,1,11.01,clear sky
101,Chuy,UY,-33.6971,-53.4616,58.23,64,100,6.58,overcast clouds
102,Winsum,NL,53.33,6.5208,64.98,88,42,12.53,scattered clouds
103,Bluff,NZ,-46.6,168.3333,46.27,84,63,5.37,broken clouds
104,Mana,GF,5.6592,-53.7767,79.56,86,72,8.88,broken clouds
105,Ranavav,IN,21.6842,69.7408,85.91,67,2,12.62,clear sky
106,Salto Del Guaira,PY,-24.0625,-54.3069,77.34,43,85,2.21,overcast clouds
107,Adrar,MR,20.5022,-10.0711,110.1,8,2,20.45,clear sky
108,Cidreira,BR,-30.1811,-50.2056,64.04,80,100,8.21,overcast clouds
109,Nanchong,CN,30.7951,106.0847,77.94,60,99,2.95,overcast clouds
110,Geraldton,AU,-28.7667,114.6,55.13,87,97,11.23,overcast clouds
111,Saskylakh,RU,71.9167,114.0833,37.18,67,96,6.04,overcast clouds
112,Puerto Ayora,EC,-0.7393,-90.3518,80.56,86,26,7.0,scattered clouds
113,Souillac,MU,-20.5167,57.5167,73.36,83,32,9.8,light rain
114,Deyang,CN,31.1302,104.382,68.16,47,100,1.01,overcast clouds
115,Port Hardy,CA,50.6996,-127.4199,50.18,87,90,12.66,light rain
116,Beneditinos,BR,-5.45,-42.3667,88.93,34,11,4.68,few clouds
117,Mahebourg,MU,-20.4081,57.7,73.26,81,23,9.57,few clouds
118,Aklavik,CA,68.2191,-135.0107,34.52,67,89,6.58,overcast clouds
119,Umm Lajj,SA,25.0213,37.2685,84.67,58,0,13.65,clear sky
120,Scarborough,GB,54.2797,-0.4044,64.83,77,77,1.99,broken clouds
121,Ribeira Grande,PT,38.5167,-28.7,68.4,83,40,13.8,scattered clouds
122,Port Lincoln,AU,-34.7333,135.8667,58.78,60,66,16.13,broken clouds
123,San Patricio,US,28.017,-97.5169,88.21,67,1,12.01,clear sky
124,Hanko,FI,59.8333,22.95,69.85,76,80,13.73,broken clouds
125,Tura,IN,25.5198,90.2201,74.73,96,39,9.01,scattered clouds
126,Norman Wells,CA,65.282,-126.8329,42.84,93,90,13.8,light rain
127,Albenga,IT,44.0529,8.216,77.56,69,100,3.0,overcast clouds
128,Tual,ID,-5.6667,132.75,81.21,79,96,14.7,overcast clouds
129,Evensk,RU,61.95,159.2333,46.87,81,96,6.02,overcast clouds
130,Deer Lake,CA,49.1667,-57.4316,63.37,39,100,8.12,overcast clouds
131,Inhambane,MZ,-23.865,35.3833,68.56,68,79,11.56,broken clouds
132,Shingu,JP,33.7333,135.9833,68.58,84,100,3.11,overcast clouds
133,Airai,TL,-8.9266,125.4092,56.39,88,98,2.89,overcast clouds
134,Harnosand,SE,62.6323,17.9379,71.62,74,63,8.32,broken clouds
135,Esperance,AU,-33.8667,121.9,60.49,69,57,25.93,light rain
136,Camacha,PT,33.0833,-16.3333,67.42,64,40,19.57,scattered clouds
137,Toora-Khem,RU,52.4675,96.11,40.93,87,95,4.56,overcast clouds
138,Bengkulu,ID,-3.8004,102.2655,74.89,90,13,4.43,few clouds
139,Les Cayes,HT,18.2,-73.75,87.89,56,15,10.54,few clouds
140,Karratha,AU,-20.7377,116.8463,75.38,70,100,6.8,overcast clouds
141,Pokhara,NP,28.2333,83.9833,76.42,61,79,3.36,broken clouds
142,Kieta,PG,-6.2167,155.6333,78.21,86,25,5.06,light rain
143,Saint George,US,37.1041,-113.5841,93.67,14,1,3.0,clear sky
144,Bayan,CN,46.0833,127.4,54.61,90,23,5.21,few clouds
145,Vitorino Freire,BR,-4.0667,-45.1667,87.06,51,3,7.25,clear sky
146,Arraial Do Cabo,BR,-22.9661,-42.0278,84.06,58,0,10.36,clear sky
147,Vetluga,RU,57.8557,45.781,68.83,68,18,4.36,few clouds
148,Codrington,AU,-38.2667,141.9667,55.17,72,100,16.84,overcast clouds
149,Xinzhou,CN,38.4092,112.7333,72.27,25,98,6.06,overcast clouds
150,Nanma,CN,36.1817,118.1583,73.62,45,64,5.41,light rain
151,Shelburne,CA,44.0787,-80.2041,86.27,33,100,13.96,overcast clouds
152,Bahir Dar,ET,11.5936,37.3908,76.59,29,49,4.76,scattered clouds
153,Kaitangata,NZ,-46.2817,169.8464,44.2,85,73,2.04,broken clouds
154,Yining,CN,29.0361,114.5636,69.94,85,94,2.24,light rain
155,Alofi,NU,-19.0595,-169.9187,75.56,64,90,13.67,overcast clouds
156,Nouadhibou,MR,20.931,-17.0347,69.53,71,42,23.69,scattered clouds
157,Victoria,HK,22.2855,114.1577,82.45,84,15,7.0,few clouds
158,Kahului,US,20.8947,-156.47,74.84,77,20,10.36,few clouds
159,Hurghada,EG,27.2574,33.8129,86.74,33,0,18.68,clear sky
160,Tongren,CN,27.7172,109.1853,74.35,79,70,1.05,light rain
161,Fairlie,GB,55.756,-4.8556,67.12,67,1,5.64,clear sky
162,Port Alfred,ZA,-33.5906,26.891,65.7,43,0,9.26,clear sky
163,Saurimo,AO,-9.6608,20.3916,74.25,38,87,4.54,overcast clouds
164,Kodinsk,RU,58.6881,99.1844,42.82,56,58,0.49,broken clouds
165,Santa Cruz Cabralia,BR,-16.2781,-39.0247,80.83,74,40,8.32,scattered clouds
166,Iqaluit,CA,63.7506,-68.5145,32.7,83,96,5.01,overcast clouds
167,Kruisfontein,ZA,-34.0033,24.7314,66.88,20,0,6.8,clear sky
168,Vestmannaeyjar,IS,63.4427,-20.2734,49.19,93,75,11.5,mist
169,Lorengau,PG,-2.0226,147.2712,79.41,85,98,12.44,overcast clouds
170,Boyolangu,ID,-8.1181,111.8935,75.7,93,60,2.24,broken clouds
171,Askino,RU,56.0901,56.5783,61.88,65,6,4.76,clear sky
172,Coquimbo,CL,-29.9533,-71.3436,60.73,75,9,4.03,clear sky
173,Dunedin,NZ,-45.8742,170.5036,44.8,86,0,1.01,clear sky
174,Hasaki,JP,35.7333,140.8333,66.6,90,100,4.9,overcast clouds
175,Zdvinsk,RU,54.7021,78.661,58.41,66,5,5.82,clear sky
176,Mundo Nuevo,MX,18.7,-95.5,86.59,61,81,0.45,broken clouds
177,Sept-Iles,CA,50.2001,-66.3821,53.6,60,31,11.45,scattered clouds
178,Puerto Madero,MX,14.7208,-92.4215,88.0,70,40,0.0,scattered clouds
179,Celestun,MX,20.8667,-90.4,88.11,59,56,5.97,broken clouds
180,Yukhnov,RU,54.7444,35.2297,62.71,89,71,7.27,moderate rain
181,Bentiu,SS,9.2333,29.8333,88.02,48,89,4.88,light rain
182,Suna,RU,57.8338,50.0588,66.7,60,4,1.21,clear sky
183,Clarksdale,US,34.2001,-90.5709,75.18,100,90,10.16,overcast clouds
184,Poli,TZ,-3.3333,36.8,60.17,76,84,3.49,broken clouds
185,Kajaani,FI,64.2273,27.7285,68.05,56,20,2.3,few clouds
186,Pangnirtung,CA,66.1451,-65.7125,35.4,87,16,0.54,few clouds
187,Caravelas,BR,-17.7125,-39.2481,80.67,61,21,7.65,few clouds
188,Yulara,AU,-25.2406,130.9889,49.84,53,0,4.61,clear sky
189,Upernavik,GL,72.7868,-56.1549,36.86,82,14,3.58,few clouds
190,Itarema,BR,-2.9248,-39.9167,87.48,57,21,10.09,few clouds
191,Sao Raimundo Nonato,BR,-9.0153,-42.6994,91.44,30,51,9.33,broken clouds
192,Sangar,RU,63.9242,127.4739,50.77,41,100,2.19,overcast clouds
193,Rutana,BI,-3.8667,30.1,64.29,62,95,1.97,overcast clouds
194,Butaritari,KI,3.0707,172.7902,81.63,75,7,7.25,light rain
195,Fort Nelson,CA,58.8053,-122.7002,49.59,93,90,5.75,overcast clouds
196,Guerrero Negro,MX,27.9769,-114.0611,66.78,67,81,4.9,broken clouds
197,Hervey Bay,AU,-25.2986,152.8535,57.04,83,2,3.0,clear sky
198,Puerto Maldonado,PE,-12.6,-69.1833,81.0,83,75,3.44,broken clouds
199,Makat,KZ,47.6469,53.3463,79.54,26,100,10.71,overcast clouds
200,San Vicente,AR,-26.6167,-54.1333,60.62,99,100,3.58,light rain
201,Nampa,US,43.5407,-116.5635,62.11,48,1,6.91,haze
202,Menongue,AO,-14.6585,17.691,69.1,32,94,4.05,overcast clouds
203,Cao Bang,VN,22.6667,106.25,76.51,69,100,1.61,overcast clouds
204,Aswan,EG,24.0934,32.907,98.2,10,0,14.61,clear sky
205,Bom Jesus,BR,-9.0744,-44.3586,93.79,28,7,8.99,clear sky
206,Whitehorse,CA,60.7161,-135.0538,46.31,87,100,5.01,overcast clouds
207,Namibe,AO,-15.1961,12.1522,78.22,51,34,6.46,scattered clouds
208,Sistranda,NO,63.7256,8.834,57.16,88,100,4.41,moderate rain
209,Chatrapur,IN,19.35,84.9833,86.5,78,93,18.37,overcast clouds
210,Saldanha,ZA,-33.0117,17.9442,66.72,46,31,11.7,scattered clouds
211,Waingapu,ID,-9.6567,120.2641,77.32,85,100,7.67,overcast clouds
212,Ponta Do Sol,PT,32.6667,-17.1,73.71,68,0,2.57,clear sky
213,Bagotville,AU,-28.9833,153.4167,50.79,91,4,6.64,clear sky
214,Myskhako,RU,44.6714,37.7433,65.82,75,74,5.53,broken clouds
215,Ilulissat,GL,69.2167,-51.1,39.22,81,20,5.75,few clouds
216,Dudinka,RU,69.4058,86.1778,32.04,92,98,4.74,overcast clouds
217,Tambun,ID,-6.2641,107.0712,82.11,84,49,2.62,scattered clouds
218,Ahuimanu,US,21.4447,-157.8378,74.91,72,20,6.91,few clouds
219,Taylorville,US,39.5489,-89.2945,82.27,65,75,9.22,broken clouds
220,Gao,ML,16.6362,1.637,108.93,10,36,13.98,scattered clouds
221,Rapar,IN,23.5667,70.6333,91.18,56,9,11.59,clear sky
222,Jinxiang,CN,27.4327,120.6062,67.8,78,0,4.74,clear sky
223,Atambua,ID,-9.1061,124.8925,70.07,84,76,5.46,broken clouds
224,Ola,RU,59.5833,151.2833,41.74,88,62,3.49,broken clouds
225,Tasiilaq,GL,65.6145,-37.6368,44.76,92,92,3.91,overcast clouds
226,Alice Springs,AU,-23.7,133.8833,42.35,65,0,5.48,clear sky
227,San Quintin,MX,30.4833,-115.95,74.44,71,100,1.97,overcast clouds
228,Omboue,GA,-1.5746,9.2618,80.01,82,100,8.1,overcast clouds
229,Nanakuli,US,21.3906,-158.1547,75.15,88,1,12.8,clear sky
230,Armizonskoye,RU,55.9461,67.6736,61.14,57,0,8.81,clear sky
231,Pangkalanbuun,ID,-2.6833,111.6167,75.0,97,79,0.51,broken clouds
232,Talnakh,RU,69.4865,88.3972,31.41,98,100,4.45,light snow
233,Rincon,US,32.296,-81.2354,87.71,76,75,4.9,broken clouds
234,Tuatapere,NZ,-46.1333,167.6833,42.46,86,57,3.42,broken clouds
235,Zacatepec,MX,18.65,-99.2,74.17,54,47,0.96,scattered clouds
236,Vila Velha,BR,-20.3297,-40.2925,81.97,71,40,5.01,scattered clouds
237,Sao Filipe,CV,14.8961,-24.4956,76.87,66,64,9.75,broken clouds
238,Beringovskiy,RU,63.05,179.3167,35.91,97,100,3.36,light rain
239,Stade,DE,53.6,9.4833,68.49,82,99,6.87,overcast clouds
240,Dhidhdhoo,MV,6.8833,73.1,82.78,77,86,13.62,overcast clouds
241,Cururupu,BR,-1.8283,-44.8683,89.01,53,23,4.56,few clouds
242,Nadym,RU,65.5333,72.5167,42.71,50,72,11.72,broken clouds
243,Bafia,CM,4.75,11.2333,77.88,90,95,3.49,moderate rain
244,Moron,AR,-34.6534,-58.6198,59.0,47,59,5.99,broken clouds
245,Tommot,RU,58.9564,126.2925,61.65,65,66,4.81,broken clouds
246,Lukovetskiy,RU,64.2956,41.9211,58.98,35,64,5.91,light rain
247,Praxedis Guerrero,MX,31.3667,-106.0167,90.95,12,48,26.35,scattered clouds
248,Boa Vista,BR,2.8197,-60.6733,87.78,58,75,9.22,broken clouds
249,La Rioja,ES,42.25,-2.5,71.04,46,0,9.78,clear sky
250,Turukhansk,RU,65.8167,87.9833,36.41,84,87,2.62,overcast clouds
251,Ramsar,IR,36.9226,50.6426,72.84,78,75,2.3,broken clouds
252,Ende,ID,-8.8432,121.6623,76.41,88,51,0.4,broken clouds
253,Dekar,BW,-21.5333,21.9333,58.05,39,0,8.9,clear sky
254,Leh,IN,34.1667,77.5833,55.44,22,2,6.08,clear sky
255,Nikolskoye,RU,59.7035,30.7861,76.39,44,14,5.08,few clouds
256,Nieuw Amsterdam,SR,5.8833,-55.0833,88.14,62,40,5.77,scattered clouds
257,La Asuncion,VE,11.0333,-63.8628,85.73,66,100,8.68,overcast clouds
258,Valdivia,CL,-39.8142,-73.2459,41.09,80,100,1.57,overcast clouds
259,Pedernales,DO,18.0384,-71.744,87.87,54,1,3.85,clear sky
260,Balikpapan,ID,-1.2675,116.8289,77.95,87,99,5.84,overcast clouds
261,Kavieng,PG,-2.5744,150.7967,81.99,73,91,1.23,overcast clouds
262,Khandyga,RU,62.6667,135.6,53.15,50,100,2.1,overcast clouds
263,Canterbury,GB,51.279,1.0799,73.29,80,91,6.67,overcast clouds
264,Paita,PE,-5.0892,-81.1144,75.76,72,100,10.74,overcast clouds
265,Saint-Augustin,CA,51.226,-58.6502,58.33,37,4,10.85,clear sky
266,Huarmey,PE,-10.0681,-78.1522,68.95,72,68,11.21,broken clouds
267,Manutuke,NZ,-38.6833,177.9167,56.21,86,100,7.4,heavy intensity rain
268,Buin,CL,-33.7333,-70.75,66.06,48,100,4.32,overcast clouds
269,Dagana,MR,16.5165,-15.5068,114.22,8,6,14.67,clear sky
270,Bethel,US,41.3712,-73.414,92.35,50,1,1.01,clear sky
271,Alta Floresta,BR,-9.8756,-56.0861,88.9,44,47,4.56,scattered clouds
